UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 ,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
100654,1,2,1,2,3,2,5,1,3,R,6560,R,2209.0,R,4345.0,R,4697.0,R,1599.0,R,3092.0,R,1534.0,R,647.0,R,885.0,R,1459.0,R,623.0,R,834.0,R,75.0,R,24.0,R,51.0,R,287.0,R,19.0,R,970.0,R,63.0,R,430.0,R,520.0,R,410.0,R,510.0,R,15.0,R,20.0,R,14.0,R,20.0,R,15.0,R,18.0,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,1,5,"Dr. Andrew Hugine, Jr.",President,2563725000,636001109,197216455,100200,1,www.aamu.edu/,https://www.aamu.edu/admissions-aid/index.html,https://www.aamu.edu/admissions-aid/financial-aid/,https://www.aamu.edu/admissions-aid/undergraduate-admissions/apply-today.html,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html, , ,https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx,1,1,1,9,1,1,12,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,18,10,4,14,18,18,18,16,1,3,2,-2,-2,26620,1,290,-2,1089,Madison County,105,-86.568502,34.783368,109,1
100663,1,3,1,1,3,3,5,3,3,R,11906,R,4139.0,R,7767.0,R,10541.0,R,3501.0,R,7040.0,R,2415.0,R,835.0,R,1580.0,R,2361.0,R,816.0,R,1545.0,R,54.0,R,19.0,R,35.0,R,166.0,R,7.0,R,1565.0,R,65.0,R,593.0,R,680.0,R,580.0,R,708.0,R,23.0,R,30.0,R,23.0,R,33.0,R,21.0,R,28.0,University of Alabama at Birmingham,UAB,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Ray L. Watts,President,2059344011,636005396,063690705,105200,1,https://www.uab.edu/,https://www.uab.edu/admissions/,https://www.uab.edu/cost-aid/,https://www.uab.edu/admissions/apply,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,https://www.uab.edu/students/veterans,https://www.uab.edu/registrar/students,https://www.uab.edu/students/disability/,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,15,14,14,9,5,15,15,15,15,15,2,5,1,The University of Alabama System,101050,13820,1,142,-2,1073,Jefferson County,107,-86.799345,33.505697,93,1
100706,1,2,1,3,3,2,1,1,3,R,5781,R,2850.0,R,2931.0,R,4259.0,R,2301.0,R,1958.0,R,1204.0,R,778.0,R,426.0,R,1191.0,R,772.0,R,419.0,R,13.0,R,6.0,R,7.0,R,65.0,R,5.0,R,1108.0,R,92.0,R,580.0,R,700.0,R,590.0,R,720.0,R,24.0,R,31.0,R,24.0,R,32.0,R,23.0,R,29.0,University of Alabama in Huntsville,UAH  University of Alabama Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,Darren Dawson,President,2568246120,630520830,949687123,105500,1,www.uah.edu/,https://www.uah.edu/admissions,finaid.uah.edu/,register.uah.edu/,finaid.uah.edu/,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,www.uah.edu/health-and-wellness/disability-support,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,17,15,4,13,16,16,15,16,2,3,1,The University of Alabama System,101050,26620,1,290,-2,1089,Madison County,105,-86.640449,34.724557,93,2
100724,1,3,2,3,3,3,5,1,3,R,5974,R,1745.0,R,4142.0,R,5854.0,R,1695.0,R,4072.0,R,890.0,R,300.0,R,590.0,R,797.0,R,254.0,R,543.0,R,93.0,R,46.0,R,47.0,R,132.0,R,15.0,R,313.0,R,35.0,R,442.0,R,534.0,R,397.0,R,516.0,R,15.0,R,20.0,R,12.0,R,22.0,R,15.0,R,19.0,Alabama State University, ,915 S Jackson Street,Montgomery,AL,36104-0271,1,5,Quinton T. Ross,President,3342294100,636001101,040672685,100500,1,www.alasu.edu/,www.alasu.edu/admissions/index.aspx,www.alasu.edu/undergraduate/expensesandfinancialaid/expenses-and-financial-aid,www.alasu.edu/admissions/undergrad-admissions/index.aspx,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator, ,www.alasu.edu/cost-aid/consumer-info,www.alasu.edu/academics/researchcenters/alabama-alliance-students-disabilities,1,1,1,9,1,1,11,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,17,13,18,10,3,14,19,19,18,21,2,2,2,-2,-2,33860,1,388,-2,1101,Montgomery County,107,-86.295677,32.364317,99,1
100751,1,2,1,1,3,3,5,1,3,R,42421,R,15567.0,R,26854.0,R,33472.0,R,12338.0,R,21134.0,R,7593.0,R,3221.0,R,4372.0,R,7540.0,R,3206.0,R,4334.0,R,53.0,R,15.0,R,38.0,R,1302.0,R,17.0,R,4795.0,R,63.0,R,540.0,R,680.0,R,530.0,R,690.0,R,21.0,R,31.0,R,21.0,R,33.0,R,19.0,R,28.0,The University of Alabama, ,739 University Blvd,Tuscaloosa,AL,35487-0100,1,5,Dr. Stuart R. Bell,President,2053486010,636001138,045632635,105100,1,www.ua.edu/,gobama.ua.edu/,financialaid.ua.edu/,apply.ua.edu/,financialaid.ua.edu/net-price-calculator/,https://vets.sa.ua.edu/,registrar.ua.edu/academics-policies/student-right-to-know/,ods.ua.edu/,1,1,1,9,1,1,11,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,15,12,4,16,15,16,16,15,2,5,1,The University of Alabama System,101050,46220,1,-2,-2,1125,Tuscaloosa County,107,-87.545978,33.211875,92,1
100830,1,2,1,3,3,3,1,1,3,R,3405,R,1128.0,R,2277.0,R,3296.0,R,1080.0,R,2216.0,R,539.0,R,191.0,R,348.0,R,517.0,R,181.0,R,336.0,R,22.0,R,10.0,R,12.0,R,23.0,R,4.0,R,429.0,R,80.0,R,480.0,R,595.0,R,470.0,R,565.0,R,17.0,R,24.0,R,16.0,R,24.0,R,16.0,R,22.0,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,7440 East Drive,Montgomery,AL,36117-3596,1,5,Carl A. Stockton,Chancellor,3342443000,636000724,183862119,831000,1,www.aum.edu/,www.aum.edu/admissions,www.aum.edu/admissions/scholarships-and-financial-aid/financial-aid,www.aum.edu/apply#apply-now-back-btn-row,www.aum.edu/current-students/financial-information/net-price-calculator,www.aum.edu/admissions/financial-affairs/financial-aid/veteran-services,www.aum.edu/academics/institutional-effectiveness/consumer-information,www.aum.edu/campus-life/student-affairs/center-for-disability-services,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,4,7,4,13,18,18,18,21,2,3,1,Auburn University,101040,33860,1,388,-2,1101,Montgomery County,102,-86.177544,32.36736,109,1
100937,1,5,5,2,5,5,5,5,3,R,2461,R,1105.0,R,1356.0,R,1622.0,R,724.0,R,898.0,R,244.0,R,123.0,R,121.0,R,244.0,R,123.0,R,121.0,A,,A,,A,,R,17.0,R,7.0,R,132.0,R,54.0,R,550.0,R,610.0,R,540.0,R,630.0,R,22.0,R,28.0,R,22.0,R,30.0,R,19.0,R,26.0,Birmingham-Southern College,BSC,900 Arkadelphia Road,Birmingham,AL,35254,1,5,Mr. Daniel Coleman,President,2052264600,630708730,067136580,101200,1,www.bsc.edu/,www.bsc.edu/admission/index.html,https://www.bsc.edu/fp/index.html,https://www.bsc.edu/admission/apply.html,www.bsc.edu/fp/np-calculator.cfm,https://www.bsc.edu/fp/veterans.html,https://www.bsc.edu/ire/student-consumer-information.html,https://www.bsc.edu/campus/accomodations/index.html,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,21,9,0,12,2,11,21,21,21,31,2,2,2,-2,-2,13820,1,142,-2,1073,Jefferson County,107,-86.850552,33.513774,133,1
101189,1,2,1,3,3,3,5,2,3,R,1791,R,773.0,R,1018.0,R,1157.0,R,482.0,R,675.0,R,233.0,R,129.0,R,104.0,R,217.0,R,122.0,R,95.0,R,16.0,R,7.0,R,9.0,R,29.0,R,12.0,R,138.0,R,59.0,R,500.0,R,600.0,R,490.0,R,605.0,R,16.0,R,23.0,R,16.0,R,23.0,R,16.0,R,22.0,Faulkner University,Faulkner,5345 Atlanta Hwy,Montgomery,AL,36109-3390,1,5,Michael D. Williams,President,3342725820,630329409,079109500,100300,1,www.faulkner.edu/,www.faulkner.edu/undergrad/admissions/,www.faulkner.edu/undergrad/tuition-financial-aid/,applynow.myfaulkner.org/inquiryform,www.faulkner.edu/net-price-calculator/,www.faulkner.edu/graduate/military-and-veterans-services-2/,https://www.faulkner.edu/undergrad/tuition-financial-aid/financial-aid-policies/student-rights-and-responsibilities/,https://www.faulkner.edu/undergrad/student-life/living-on-campus/student-services/center-for-disability-services/,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,19,16,7,5,10,19,20,22,32,2,2,2,-2,-2,33860,1,388,-2,1101,Montgomery County,102,-86.21641,32.384181,114,2
101435,1,2,1,2,2,2,5,1,3,R,2404,R,1405.0,R,999.0,R,1666.0,R,971.0,R,695.0,R,253.0,R,154.0,R,99.0,R,253.0,R,154.0,R,99.0,A,,A,,A,,R,17.0,R,7.0,R,157.0,R,62.0,R,510.0,R,560.0,R,470.0,R,510.0,R,19.0,R,25.0,R,20.0,R,25.0,R,17.0,R,24.0,Huntingdon College, ,1500 East Fairview Avenue,Montgomery,AL,36106-2148,1,5,J. Cameron West,President,3348334497,630288841,082145608,101900,1,www.huntingdon.edu/,www.huntingdon.edu/admission-aid/,www.huntingdon.edu/admission-aid/student-financial-services/,www.huntingdon.edu/admission-aid/traditional-admission/,hawk.huntingdon.edu/oiac/netpricecalculator/index.html, , ,www.huntingdon.edu/academics/academic-resources/disability-services/,2,1,2,7,1,1,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,22,15,0,10,2,8,22,22,22,31,2,1,2,-2,-2,33860,1,388,-2,1101,Montgomery County,102,-86.284366,32.351034,140,1
101480,1,3,1,3,3,3,5,1,3,R,10483,R,3634.0,R,6849.0,R,8003.0,R,2763.0,R,5240.0,R,1818.0,R,695.0,R,1123.0,R,1782.0,R,682.0,R,1100.0,R,36.0,R,13.0,R,23.0,R,4.0,R,1.0,R,1298.0,R,71.0,R,490.0,R,580.0,R,520.0,R,660.0,R,16.0,R,23.0,R,15.0,R,23.0,R,15.0,R,21.0,Jacksonville State University, ,700 Pelham Road North,Jacksonville,AL,36265,1,5,Don Killingsworth,President,2567825781,636001099,079107165,102000,1,www.jsu.edu/,www.jsu.edu/admissions/,www.jsu.edu/finaid/,www.jsu.edu/undergraduate/apply/index.html,www.jsu.edu/finaid/,www.jsu.edu/finaid/veteransaffairs/,www.jsugamecocksports.com/sports/2008/6/2/Compliance.aspx?tab=compliance,www.jsu.edu/dss/,1,1,1,9,1,1,11,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,4,11,4,13,18,18,18,21,2,3,2,-2,-2,11500,1,-2,-2,1015,Calhoun County,103,-85.765321,33.822938,107,2
